n, iterative-time, recursive-time
465,1667,1708
466,1750,1708
467,1709,1708
468,1708,1750
469,1708,1750
470,1792,1791
471,1708,1708
472,1750,1709
473,1792,1750
474,1750,1709
475,1708,1708
476,1708,1750
477,1750,1750
478,1750,1708
479,1750,1750
480,1833,1708
481,1750,1750
482,1792,1709
483,1750,1791
484,1750,1791
485,1792,1750
486,1750,1792
487,1833,1792
488,1750,1792
489,1791,1750
490,1750,1792
491,1833,1792
492,1750,1834
493,1833,1750
494,1792,1750
495,1750,1792
496,1792,1791
497,1791,1792
498,1750,1791
499,1792,1834
500,1834,1833
501,1792,1792
502,1791,1833
503,1834,1792
504,1875,1792
505,1792,1833
506,1833,1875
507,1834,1834
508,1792,1834
509,1834,1875
510,1875,1833
511,1833,1834
512,1834,1834
513,1875,1875
514,1833,1875
515,1875,1834
516,1833,1875
517,1875,1875
518,1875,1958
519,1875,1917
520,1875,2125
521,1917,1917
522,1958,1916
523,1875,1959
524,1917,1917
525,1958,1958
526,1959,2042
527,2042,2000
528,2083,2083
529,2041,2125
530,2000,1959
531,2000,1916
532,2042,2000
533,2042,2000
534,2000,2000
535,2041,2041
536,2084,2000
537,2000,2000
538,2000,2000
539,2041,2042
540,2000,2042
541,2041,2041
542,2041,2042
543,2042,2041
544,2042,2042
545,2042,2042
546,2042,2041
547,2042,2083
548,2042,2000
549,2084,2042
550,2042,2083
551,2083,2041
552,2083,2041
553,2042,2000
554,2125,2042
555,2208,2083
556,2084,2084
557,2084,2042
558,2083,2125
559,2125,2041
560,2083,2083
561,2125,2125
562,2125,2083
563,2084,2083
564,2084,2083
565,2125,2083
566,2125,2125
567,2125,2125
568,2125,2125
569,2083,2084
570,2125,2083
571,2125,2167
572,2125,2125
573,2125,2125
574,2125,2125
575,2167,2166
576,2125,2167
577,2125,2166
578,2208,2167
579,2084,2125
580,2125,2167
581,2209,2125
582,2167,2166
583,2125,2167
584,2166,2166
585,2167,2209
586,2167,2167
587,2166,2208
588,2167,2208
589,2250,2167
590,2208,2208
591,2208,2166
592,2208,2208
593,2250,2250
594,2209,2250
595,2292,2250
596,2292,2208
597,2209,2250
598,2292,2250
599,2250,2250
600,2250,2250
601,2250,2250
602,2250,2209
603,2250,2291
604,2250,2250
605,2250,2291
606,2250,2333
607,2250,2250
608,2292,2250
609,2333,2291
610,2250,2250
611,2333,2333
612,2292,2333
613,2292,2250
614,2291,2292
615,2333,2292
616,2292,2292
617,2292,2416
618,2291,2375
619,2375,2292
620,2334,2292
621,2375,2292
622,2291,2333
623,2292,2292
624,2292,2292
625,2333,2333
626,2333,2333
627,2334,2334
628,2375,2334
629,2334,2334
630,2333,2333
631,2375,2333
632,2333,2333
633,2333,2375
634,2375,2375
635,2375,2375
636,2375,2417
637,2417,2334
638,2375,2375
639,2333,2333
640,2375,2375
641,2375,2375
642,2375,2375
643,2375,2375
644,2417,2375
645,2416,2417
646,2459,2417
647,2458,2417
648,2500,2458
649,2459,2417
650,2417,2458
651,2459,2417
652,2500,2458
653,2417,2459
654,2459,2459
655,2417,2459
656,2416,2458
657,2416,2416
658,2417,2417
659,2458,2458
660,2416,2500
661,2458,2458
662,2500,2500
663,2500,2541
664,2416,2375
665,2375,2375
666,2417,2375
667,2416,2417
668,2416,2417
669,2417,2375
670,2333,2416
671,2459,2417
672,2458,2417
673,2334,2417
674,2417,2459
675,2333,2417
676,2458,2416
677,2417,2459
678,2416,2458
679,2458,2417
680,2416,2417
681,2500,2416
682,2500,2459
683,2417,2417
684,2416,2458
685,2458,2458
686,2458,2500
687,2458,2458
688,2500,2459
689,2500,2458
690,2500,2500
691,2500,2500
692,2500,2458
693,2500,2500
694,2417,2459
695,2500,2542
696,2500,2500
697,2500,2500
698,2458,2500
699,2541,2500
700,2500,2500
701,2500,2542
702,2541,2500
703,2500,2542
704,2541,2583
705,2541,2542
706,2542,2500
707,2542,2541
708,2584,2500
709,2583,2541
710,2583,2541
711,2542,2541
712,2542,2583
713,2583,2541
714,2541,2583
715,2541,2541
716,2541,2583
717,2500,2541
718,2583,2583
719,2584,2584
720,2583,2583
721,2584,2583
722,2584,2584
723,2583,2583
724,2584,2625
725,2667,2584
726,2583,2625
727,2583,2625
728,2583,2625
729,2625,2625
730,2625,2625
731,2625,2583
732,2625,2625
733,2625,2625
734,2625,2625
735,2625,2625
736,2667,2625
737,2666,2625
738,2666,2625
739,2625,2709
740,2625,2667
741,2667,2666
742,2667,2708
743,2625,2666
744,2667,2625
745,2666,2708
746,2708,2708
747,2708,2709
748,2667,2708
749,2667,2709
750,2708,2667
751,2750,2708
752,2708,2667
753,2750,2666
754,2709,2750
755,2709,2709
756,2708,2750
757,2709,2709
758,2708,2708
759,2750,2708
760,2709,2750
761,2750,2750
762,2750,2708
763,2750,2750
764,2708,2709
765,2750,2750
766,2708,2750
767,2792,2792
768,2750,2750
769,2750,2708
770,2792,2750
771,2750,2750
772,2750,2792
773,2792,2834
774,2834,2750
775,2750,2750
776,2833,2792
777,2792,2791
778,2750,2792
779,2791,2792
780,2792,2792
781,2791,2792
782,2834,2792
783,2792,2791
784,2792,2833
785,2792,2833
786,2834,2834
787,2792,2834
788,2791,2791
789,2833,2833
790,2875,2834
791,2833,2833
792,2875,2833
793,2916,2875
794,2834,2833
795,2875,2792
796,2833,2875
797,2917,2875
798,2833,2833
799,2917,2875
800,3125,3042
801,2959,3000
802,3000,3000
803,3000,3000
804,3041,3042
805,3042,2958
806,3000,3000
807,3042,3000
808,3041,3042
809,3000,3042
810,3000,3000
811,3000,3000
812,3084,3000
813,3000,3042
814,3042,3042
815,3000,3042
816,3000,3000
817,3083,3041
818,3083,3041
819,3083,3083
820,3041,3042
821,3125,3041
822,3042,3042
823,3041,3083
824,3041,3125
825,3167,3041
826,3083,3083
827,3083,3083
828,3084,3084
829,3084,3084
830,3083,3125
831,3042,3084
832,3083,3125
833,3083,3125
834,3000,3000
835,2916,2958
836,3041,3000
837,3000,3041
838,3083,2958
839,3000,3000
840,3000,3041
841,3000,3000
842,3042,3000
843,3000,3041
844,3000,3042
845,3000,3000
846,3042,3041
847,3042,3084
848,3042,3041
849,3000,3000
850,3000,3042
851,3000,3084
852,3041,3042
853,3042,3084
854,3083,3084
855,3084,3084
856,3042,3083
857,3042,3083
858,3084,3042
859,3083,3042
860,3084,3084
861,3083,3125
862,3125,3125
863,3083,3083
864,3084,3084
865,3084,3084
866,3125,3167
867,3125,3083
868,3041,3125
869,3125,3125
870,3125,3125
871,3083,3083
872,3167,3125
873,3167,3125
874,3125,3167
875,3125,3166
876,3125,3125
877,3166,3125
878,3166,3167
879,3166,3208
880,3125,3167
881,3167,3209
882,3167,3166
883,3167,3250
884,3333,3208
885,3208,3208
886,3209,3167
887,3167,3166
888,3208,3208
889,3208,3166
890,3167,3167
891,3250,3250
892,3167,3166
893,3250,3208
894,3208,3208
895,3250,3208
896,3250,3208
897,3209,3167
898,3209,3208
899,3250,3250
900,3209,3209
901,3208,3208
902,3250,3209
903,3292,3250
904,3250,3292
905,3292,3291
906,3292,3250
907,3334,3292
908,3250,3208
909,3250,3250
910,3250,3250
911,3292,3250
912,3250,3292
913,3250,3292
